Region,Date,Rainfall Deficit,SPI,SPEI,Drought Risk
Anuradapura AdministrativeArea2,2000-01-01,124.7280103,1.736182888,0.966220812,High Risk
Anuradapura AdministrativeArea1,2000-01-02,73.70444379,-0.027414781,1.5244075,Moderate Risk
Anuradapura AdministrativeArea3,2000-01-03,81.58980624,-1.522671947,-0.147280498,Moderate Risk
Anuradapura AdministrativeArea4,2000-01-04,95.16778205,1.183208933,-0.843285073,Moderate Risk
Anuradapura AdministrativeArea3,2000-01-05,100.9133336,-0.406609322,-0.724613703,Moderate Risk
Anuradapura AdministrativeArea4,2000-01-06,110.5654523,0.473137417,0.787793033,Low Risk
Anuradapura AdministrativeArea2,2000-01-07,113.8650072,-1.963673549,0.270232136,High Risk
Anuradapura AdministrativeArea4,2000-01-08,163.9290864,0.657919948,-0.054023476,Moderate Risk
Anuradapura AdministrativeArea3,2000-01-09,177.3932977,-0.632247555,-1.188903685,Moderate Risk
Anuradapura AdministrativeArea1,2000-01-10,127.219802,-0.829051251,1.50182275,Moderate Risk
Anuradapura AdministrativeArea3,2000-01-11,276.824105,2.399577894,1.12408179,High Risk
Anuradapura AdministrativeArea1,2000-01-12,188.2849308,-0.337846786,-1.437445593,Moderate Risk
Anuradapura AdministrativeArea1,2000-01-13,246.869232,0.890191891,-0.530446182,Moderate Risk
Anuradapura AdministrativeArea1,2000-01-14,281.0594581,0.638637678,0.168528375,Low Risk
Anuradapura AdministrativeArea4,2000-01-15,90.78377864,-1.978482246,-0.182645509,Moderate Risk
Anuradapura AdministrativeArea2,2000-01-16,156.9686209,1.239637685,-0.408816645,Moderate Risk
Anuradapura AdministrativeArea2,2000-01-17,158.3026004,-0.884203983,0.87532759,Moderate Risk
Anuradapura AdministrativeArea2,2000-01-18,138.6180626,1.494697746,-1.781985983,High Risk
Anuradapura AdministrativeArea1,2000-01-19,52.22646664,0.538203913,-0.114358643,Moderate Risk
Anuradapura AdministrativeArea4,2000-01-20,253.9930269,-0.91454255,-0.951273238,Moderate Risk
Anuradapura AdministrativeArea4,2000-01-21,77.88983039,-0.718535198,-1.661526459,Moderate Risk
Anuradapura AdministrativeArea4,2000-01-22,298.8701495,1.157536848,-0.140451368,Moderate Risk
Anuradapura AdministrativeArea3,2000-01-23,243.239623,0.250296576,-1.314525236,Moderate Risk
Anuradapura AdministrativeArea4,2000-01-24,195.0025044,0.841755203,-0.967102872,Moderate Risk
Anuradapura AdministrativeArea4,2000-01-25,88.65160444,-1.708408395,0.028034918,High Risk
Anuradapura AdministrativeArea4,2000-01-26,178.8482428,1.434883361,1.89483592,High Risk
Anuradapura AdministrativeArea2,2000-01-27,115.2771852,-0.898043405,0.737020027,Moderate Risk
Anuradapura AdministrativeArea1,2000-01-28,113.0806311,0.599306336,-0.881512807,Moderate Risk
Anuradapura AdministrativeArea3,2000-01-29,257.3823123,-1.926600874,-0.47037579,Moderate Risk
Anuradapura AdministrativeArea2,2000-01-30,145.161106,-0.892898794,-0.375467391,Moderate Risk
Anuradapura AdministrativeArea4,2000-01-31,162.6809508,0.744336465,-1.385449507,Moderate Risk
Anuradapura AdministrativeArea1,2000-02-01,260.7411844,-1.128969339,-1.357383245,Moderate Risk
Anuradapura AdministrativeArea1,2000-02-02,71.94765643,1.901560984,-1.406421106,Moderate Risk
Anuradapura AdministrativeArea1,2000-02-03,198.6544633,0.806141997,0.086656551,Low Risk
Anuradapura AdministrativeArea1,2000-02-04,194.5539203,1.851391966,0.696744347,High Risk
Anuradapura AdministrativeArea4,2000-02-05,156.3036423,-0.523046489,0.362882738,Moderate Risk
Anuradapura AdministrativeArea3,2000-02-06,257.4436604,-2.330074287,1.911068742,High Risk
Anuradapura AdministrativeArea4,2000-02-07,285.7225153,0.380699817,-1.496501711,Moderate Risk
Anuradapura AdministrativeArea1,2000-02-08,166.3339655,-0.804032486,1.945897625,Moderate Risk
Anuradapura AdministrativeArea4,2000-02-09,164.0367627,-0.25905812,-0.133304264,Moderate Risk
Anuradapura AdministrativeArea1,2000-02-10,175.5159324,0.90555107,-1.125468849,Moderate Risk
Anuradapura AdministrativeArea4,2000-02-11,230.7810077,1.003323335,1.773123304,High Risk
Anuradapura AdministrativeArea3,2000-02-12,217.0150727,-2.362217926,-0.125546759,Moderate Risk
Anuradapura AdministrativeArea1,2000-02-13,105.7087373,1.346513364,-0.610612179,Moderate Risk
Anuradapura AdministrativeArea4,2000-02-14,65.97383715,-0.032405425,-1.144759585,Moderate Risk
Anuradapura AdministrativeArea2,2000-02-15,287.3135325,0.283493867,-0.928498196,Moderate Risk
Anuradapura AdministrativeArea3,2000-02-16,115.2674399,-1.010029074,1.916878041,Moderate Risk
Anuradapura AdministrativeArea2,2000-02-17,209.6491712,-0.39583107,-0.78410624,Moderate Risk
Anuradapura AdministrativeArea4,2000-02-18,257.1095007,1.05187567,1.911223695,High Risk
Anuradapura AdministrativeArea3,2000-02-19,125.0691876,1.383569015,-0.679140054,Moderate Risk
Anuradapura AdministrativeArea3,2000-02-20,208.8583534,-0.564469094,-1.074326138,Moderate Risk
Anuradapura AdministrativeArea3,2000-02-21,76.97506029,0.955587663,-1.266543268,Moderate Risk
Anuradapura AdministrativeArea4,2000-02-22,292.4828611,-1.209782492,-0.352581979,Moderate Risk
Anuradapura AdministrativeArea3,2000-02-23,64.53956876,1.660113326,-1.052774206,Moderate Risk
Anuradapura AdministrativeArea3,2000-02-24,159.5436685,0.549071195,0.787751855,Low Risk
Anuradapura AdministrativeArea2,2000-02-25,184.2048105,1.37593258,-1.040913059,Moderate Risk
Anuradapura AdministrativeArea4,2000-02-26,247.6204447,-0.114225738,1.34158738,Moderate Risk
Anuradapura AdministrativeArea1,2000-02-27,80.28212927,-1.354453575,1.336045034,Moderate Risk
